Run: calibration_11V_20260724_192522
Raw capture: /Users/msteitieh/Desktop/CU-hakcing-captures/current-hamming/raw/calibration_11V_20260724_192522.csv
Serial: /dev/cu.usbmodem1201
Voltage: 11 V; distance: 0.35 m
2026-07-24T23:37:59.621891Z calibration running; capture PID 58140
2026-07-24T23:38:10.039033Z calibration running; capture PID 58140
2026-07-24T23:38:20.404830Z calibration running; capture PID 58140
2026-07-24T23:38:30.971763Z calibration running; capture PID 58140
2026-07-24T23:38:41.404957Z calibration running; capture PID 58140
2026-07-24T23:38:51.855828Z calibration running; capture PID 58140
2026-07-24T23:39:02.303993Z calibration running; capture PID 58140
2026-07-24T23:39:12.787591Z calibration running; capture PID 58140
2026-07-24T23:39:23.204362Z calibration running; capture PID 58140
2026-07-24T23:39:33.670961Z calibration running; capture PID 58140
2026-07-24T23:39:44.070416Z calibration running; capture PID 58140
2026-07-24T23:39:54.503146Z calibration running; capture PID 58140
Wrote /Users/msteitieh/Desktop/CU-hakcing-captures/current-hamming/derived/calibration_11V_20260724_192522.calibration.csv
Wrote /Users/msteitieh/Desktop/CU-hakcing-captures/current-hamming/derived/calibration_11V_20260724_192522.calibration-summary.json
Calibration complete: /Users/msteitieh/Desktop/CU-hakcing-captures/current-hamming/raw/calibration_11V_20260724_192522.csv
Analysis complete: /Users/msteitieh/Desktop/CU-hakcing-captures/current-hamming/derived/calibration_11V_20260724_192522.calibration.csv
