sequence,scheme,repetition,duty_position,duty_percent,duty_label,voltage_v,distance_m,hardware_note,payload_derivation,payload_bits,data_symbols,parity_symbols,coded_body_bits,frame_bits,bit_seconds,started_utc,finished_utc,duration_s,gap_after_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
11,rs18_6,2,2,40,commanded 40%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001111110011110100101001011110,7 28 30 18 18 30,17 27 12 2 26 26 13 31 15 15 5 3,001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0111111001111110001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0.5,2026-07-28T13:32:06.502323Z,2026-07-28T13:32:59.503939Z,53.001225,15,25000.000,424,0,25538.833,25756.880,25776.686,25823.611
12,rs18_6,2,3,35,commanded 35%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001111110011110100101001011110,7 28 30 18 18 30,17 27 12 2 26 26 13 31 15 15 5 3,001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0111111001111110001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0.5,2026-07-28T13:33:14.510319Z,2026-07-28T13:34:07.511877Z,53.001183,15,21875.000,424,0,22552.944,22756.166,22775.606,22784.704
13,rs18_6,2,4,30,commanded 30%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001111110011110100101001011110,7 28 30 18 18 30,17 27 12 2 26 26 13 31 15 15 5 3,001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0111111001111110001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0.5,2026-07-28T13:34:22.519318Z,2026-07-28T13:35:15.520911Z,53.001212,15,18750.000,424,0,18758.296,19664.176,19757.386,19760.908
14,rs18_6,2,5,25,commanded 25%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001111110011110100101001011110,7 28 30 18 18 30,17 27 12 2 26 26 13 31 15 15 5 3,001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0111111001111110001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0.5,2026-07-28T13:35:30.527319Z,2026-07-28T13:36:23.528888Z,53.001192,15,15625.000,424,0,15640.740,15748.453,15777.100,16651.556
15,rs18_6,2,6,10,commanded 10%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001111110011110100101001011110,7 28 30 18 18 30,17 27 12 2 26 26 13 31 15 15 5 3,001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0111111001111110001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0.5,2026-07-28T13:36:38.535320Z,2026-07-28T13:37:31.536879Z,53.001181,15,6250.000,424,0,6526.537,6757.611,6773.899,6785.296
16,rs18_6,2,7,1,"commanded 1%, timing-limited",11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001111110011110100101001011110,7 28 30 18 18 30,17 27 12 2 26 26 13 31 15 15 5 3,001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0111111001111110001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0.5,2026-07-28T13:37:46.543318Z,2026-07-28T13:38:39.544877Z,53.001187,15,625.000,424,212,640.278,756.611,777.001,1633.777
17,rs18_6,2,8,100,commanded 100%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001111110011110100101001011110,7 28 30 18 18 30,17 27 12 2 26 26 13 31 15 15 5 3,001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0111111001111110001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0.5,2026-07-28T13:38:54.551318Z,2026-07-28T13:39:47.552680Z,53.001229,15,62500.000,0,0,nan,nan,nan,nan
18,rs18_6,2,9,50,commanded 50%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001111110011110100101001011110,7 28 30 18 18 30,17 27 12 2 26 26 13 31 15 15 5 3,001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0111111001111110001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0.5,2026-07-28T13:40:02.559322Z,2026-07-28T13:40:55.560875Z,53.001153,15,31250.000,424,0,31570.648,31757.750,31781.448,31799.555
19,rs18_6,3,1,35,commanded 35%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100001000001010001101010001010,16 16 10 6 20 10,12 1 12 0 17 12 19 11 15 2 25 6,100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0111111001111110100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0.5,2026-07-28T13:41:10.568319Z,2026-07-28T13:42:03.569885Z,53.001192,15,21875.000,424,0,22293.611,22756.584,22775.653,22785.186
20,rs18_6,3,2,30,commanded 30%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100001000001010001101010001010,16 16 10 6 20 10,12 1 12 0 17 12 19 11 15 2 25 6,100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0111111001111110100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0.5,2026-07-28T13:42:18.577316Z,2026-07-28T13:43:11.578979Z,53.001247,15,18750.000,424,0,18758.593,19670.102,19758.671,19788.797
21,rs18_6,3,3,25,commanded 25%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100001000001010001101010001010,16 16 10 6 20 10,12 1 12 0 17 12 19 11 15 2 25 6,100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0111111001111110100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0.5,2026-07-28T13:43:26.586318Z,2026-07-28T13:44:19.587893Z,53.001197,15,15625.000,424,0,15640.685,15756.333,15783.198,16634.445
22,rs18_6,3,4,10,commanded 10%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100001000001010001101010001010,16 16 10 6 20 10,12 1 12 0 17 12 19 11 15 2 25 6,100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0111111001111110100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0.5,2026-07-28T13:44:34.594321Z,2026-07-28T13:45:27.595899Z,53.001199,15,6250.000,424,0,6400.852,6761.010,6778.758,6790.297
23,rs18_6,3,5,1,"commanded 1%, timing-limited",11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100001000001010001101010001010,16 16 10 6 20 10,12 1 12 0 17 12 19 11 15 2 25 6,100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0111111001111110100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0.5,2026-07-28T13:45:42.602318Z,2026-07-28T13:46:35.603920Z,53.001225,15,625.000,424,213,635.186,760.546,1235.787,1637.537
24,rs18_6,3,6,100,commanded 100%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100001000001010001101010001010,16 16 10 6 20 10,12 1 12 0 17 12 19 11 15 2 25 6,100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0111111001111110100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0.5,2026-07-28T13:46:50.610318Z,2026-07-28T13:47:43.611638Z,53.001190,15,62500.000,0,0,nan,nan,nan,nan
25,rs18_6,3,7,50,commanded 50%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100001000001010001101010001010,16 16 10 6 20 10,12 1 12 0 17 12 19 11 15 2 25 6,100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0111111001111110100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0.5,2026-07-28T13:47:58.618321Z,2026-07-28T13:48:51.619912Z,53.001187,15,31250.000,424,0,31532.111,31757.055,31779.747,31800.389
26,rs18_6,3,8,45,commanded 45%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100001000001010001101010001010,16 16 10 6 20 10,12 1 12 0 17 12 19 11 15 2 25 6,100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0111111001111110100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0.5,2026-07-28T13:49:06.627319Z,2026-07-28T13:49:59.628919Z,53.001217,15,28125.000,424,0,28352.612,28746.982,28777.221,28805.259
27,rs18_6,3,9,40,commanded 40%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100001000001010001101010001010,16 16 10 6 20 10,12 1 12 0 17 12 19 11 15 2 25 6,100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0111111001111110100001000001010001101010001010011000000101100000001000101100100110101101111000101100100110,0.5,2026-07-28T13:50:14.636322Z,2026-07-28T13:51:07.637885Z,53.001178,15,25000.000,424,0,25306.556,25755.786,25776.039,25786.278
28,rs18_6,4,1,25,commanded 25%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},111001000111101100010011100010,28 17 29 17 7 2,19 29 23 10 6 4 18 5 12 26 7 3,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0111111001111110111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0.5,2026-07-28T13:51:22.651320Z,2026-07-28T13:52:15.652930Z,53.001222,15,15625.000,424,0,15637.056,15756.473,15776.102,16648.926
29,rs18_6,4,2,10,commanded 10%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},111001000111101100010011100010,28 17 29 17 7 2,19 29 23 10 6 4 18 5 12 26 7 3,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0111111001111110111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0.5,2026-07-28T13:52:30.659321Z,2026-07-28T13:53:23.660907Z,53.001203,15,6250.000,424,0,6360.537,6759.157,6777.201,6785.741
30,rs18_6,4,3,1,"commanded 1%, timing-limited",11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},111001000111101100010011100010,28 17 29 17 7 2,19 29 23 10 6 4 18 5 12 26 7 3,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0111111001111110111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0.5,2026-07-28T13:53:38.667316Z,2026-07-28T13:54:31.668948Z,53.001248,15,625.000,424,213,641.629,758.241,776.299,1635.704
31,rs18_6,4,4,100,commanded 100%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},111001000111101100010011100010,28 17 29 17 7 2,19 29 23 10 6 4 18 5 12 26 7 3,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0111111001111110111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0.5,2026-07-28T13:54:46.675318Z,2026-07-28T13:55:39.676665Z,53.001212,15,62500.000,0,0,nan,nan,nan,nan
32,rs18_6,4,5,50,commanded 50%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},111001000111101100010011100010,28 17 29 17 7 2,19 29 23 10 6 4 18 5 12 26 7 3,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0111111001111110111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0.5,2026-07-28T13:55:54.684318Z,2026-07-28T13:56:47.685890Z,53.001169,15,31250.000,424,0,31426.426,31758.343,31780.968,31794.611
33,rs18_6,4,6,45,commanded 45%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},111001000111101100010011100010,28 17 29 17 7 2,19 29 23 10 6 4 18 5 12 26 7 3,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0111111001111110111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0.5,2026-07-28T13:57:02.693319Z,2026-07-28T13:57:55.694939Z,53.001233,15,28125.000,424,0,28192.963,28756.565,28776.613,28784.315
34,rs18_6,4,7,40,commanded 40%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},111001000111101100010011100010,28 17 29 17 7 2,19 29 23 10 6 4 18 5 12 26 7 3,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0111111001111110111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0.5,2026-07-28T13:58:10.701318Z,2026-07-28T13:59:03.702901Z,53.001196,15,25000.000,424,0,25568.648,25753.444,25774.827,25784.907
35,rs18_6,4,8,35,commanded 35%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},111001000111101100010011100010,28 17 29 17 7 2,19 29 23 10 6 4 18 5 12 26 7 3,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0111111001111110111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0.5,2026-07-28T13:59:18.709320Z,2026-07-28T14:00:11.710960Z,53.001253,15,21875.000,424,0,22564.611,22759.564,22776.203,22787.000
36,rs18_6,4,9,30,commanded 30%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},111001000111101100010011100010,28 17 29 17 7 2,19 29 23 10 6 4 18 5 12 26 7 3,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0111111001111110111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,0.5,2026-07-28T14:00:26.717317Z,2026-07-28T14:01:19.718914Z,53.001213,15,18750.000,424,0,18757.630,19664.055,19758.510,19762.185
37,rs18_6,5,1,1,"commanded 1%, timing-limited",11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100110101110100100011000100010,19 11 20 17 17 2,26 26 14 1 0 31 18 19 3 9 18 9,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0111111001111110100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0.5,2026-07-28T14:01:34.725319Z,2026-07-28T14:02:27.726990Z,53.001279,15,625.000,424,212,632.574,758.296,776.918,1631.092
38,rs18_6,5,2,100,commanded 100%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100110101110100100011000100010,19 11 20 17 17 2,26 26 14 1 0 31 18 19 3 9 18 9,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0111111001111110100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0.5,2026-07-28T14:02:42.735319Z,2026-07-28T14:03:35.736674Z,53.001221,15,62500.000,0,0,nan,nan,nan,nan
39,rs18_6,5,3,50,commanded 50%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100110101110100100011000100010,19 11 20 17 17 2,26 26 14 1 0 31 18 19 3 9 18 9,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0111111001111110100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0.5,2026-07-28T14:03:50.745319Z,2026-07-28T14:04:43.746891Z,53.001167,15,31250.000,424,0,31422.204,31752.398,31775.906,31811.408
40,rs18_6,5,4,45,commanded 45%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100110101110100100011000100010,19 11 20 17 17 2,26 26 14 1 0 31 18 19 3 9 18 9,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0111111001111110100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0.5,2026-07-28T14:04:58.763320Z,2026-07-28T14:05:51.764949Z,53.001238,15,28125.000,424,0,28571.944,28757.731,28777.068,28788.537
41,rs18_6,5,5,40,commanded 40%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100110101110100100011000100010,19 11 20 17 17 2,26 26 14 1 0 31 18 19 3 9 18 9,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0111111001111110100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0.5,2026-07-28T14:06:06.771318Z,2026-07-28T14:06:59.772896Z,53.001193,15,25000.000,424,0,25586.093,25755.157,25775.728,25796.630
42,rs18_6,5,6,35,commanded 35%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100110101110100100011000100010,19 11 20 17 17 2,26 26 14 1 0 31 18 19 3 9 18 9,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0111111001111110100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0.5,2026-07-28T14:07:14.779321Z,2026-07-28T14:08:07.780893Z,53.001185,15,21875.000,424,0,22569.222,22755.834,22776.868,22783.833
43,rs18_6,5,7,30,commanded 30%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},100110101110100100011000100010,19 11 20 17 17 2,26 26 14 1 0 31 18 19 3 9 18 9,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0111111001111110100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,0.5,2026-07-28T14:08:22.787327Z,2026-07-28T14:09:15.788987Z,53.001246,15,18750.000,424,0,18757.648,19662.546,19758.772,19762.704
